TimeStamp,MSEC,    Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,        Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,            Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,                Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,                    Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP102021-07-06 17:15:49.340968,,,,/Marker/1
2021-07-06 17:15:49.413696,0,[2],0.6972824931144714,0.3470681607723236,0.5904189944267273,0.29224908351898193,[3],0.49758270382881165,0.05001353845000267,-0.1340155452489853,0.11713508516550064,[0],0.6294757127761841,0.4758811295032501,0.9993402361869812,0.4561489522457123,[1],0.5908204317092896,0.226640984416008,0.5553590655326843,0.3445025682449341,[4],0.14038754999637604,-0.18720915913581848,-0.5558344125747681,-0.27229171991348267
2021-07-06 17:15:49.504961,0.1,[2],0.6972824931144714,0.3470681607723236,0.5287503004074097,0.21911704540252686,[3],0.45827051997184753,0.04659619927406311,-0.14896591007709503,0.12566806375980377,[0],0.6668804883956909,0.4773418605327606,0.9539894461631775,0.45466384291648865,[1],0.6477302312850952,0.21361105144023895,0.44130009412765503,0.3836315870285034,[4],0.09863673150539398,-0.18080849945545197,-0.5679120421409607,-0.2517012357711792
2021-07-06 17:15:49.645130,0.2,[2],0.6972824931144714,0.3451705873012543,0.342027485370636,0.21911704540252686,[3],0.4541971683502197,0.042813342064619064,-0.16230188310146332,0.12566806375980377,[0],0.7026264667510986,0.47345656156539917,0.8530772924423218,0.45466384291648865,[1],0.7072805166244507,0.20225238800048828,0.3056508004665375,0.3836315870285034,[4],0.04308652877807617,-0.1834234893321991,-0.5890828967094421,-0.2517012357711792
2021-07-06 17:15:49.723656,0.30000000000000004,[2],0.6972824931144714,0.32959723472595215,0.01601671241223812,0.21911704540252686,[3],0.4541971683502197,0.03981687128543854,-0.1629893183708191,0.12566806375980377,[0],0.7026264667510986,0.473127156496048,0.6830405592918396,0.45466384291648865,[1],0.7072805166244507,0.2004707157611847,0.20078741014003754,0.3836315870285034,[4],0.04308652877807617,-0.19783459603786469,-0.6190240979194641,-0.2517012357711792
2021-07-06 17:15:49.849094,0.4,[2],0.6972824931144714,0.3285033702850342,-0.2299514263868332,0.21911704540252686,[3],0.4541971683502197,0.040522679686546326,-0.15038692951202393,0.12566806375980377,[0],0.7026264667510986,0.4841934144496918,0.4620059132575989,0.45466384291648865,[1],0.7072805166244507,0.21250976622104645,0.1678849756717682,0.3836315870285034,[4],0.04308652877807617,-0.21770088374614716,-0.6590864062309265,-0.2517012357711792
2021-07-06 17:15:49.927207,0.5,[2],0.6972824931144714,0.303188294172287,-0.2299514263868332,0.21911704540252686,[3],0.4541971683502197,0.04595447704195976,-0.15038692951202393,0.12566806375980377,[0],0.7026264667510986,0.5059454441070557,0.4620059132575989,0.45466384291648865,[1],0.7072805166244507,0.23805901408195496,0.1678849756717682,0.3836315870285034,[4],0.04308652877807617,-0.23154225945472717,-0.6590864062309265,-0.2517012357711792
2021-07-06 17:15:50.023538,0.6,[2],0.6972824931144714,0.2569698691368103,-0.2299514263868332,0.21911704540252686,[3],0.4541971683502197,0.054216280579566956,-0.15038692951202393,0.12566806375980377,[0],0.7026264667510986,0.5279314517974854,0.4620059132575989,0.45466384291648865,[1],0.7072805166244507,0.272373765707016,0.1678849756717682,0.3836315870285034,[4],0.04308652877807617,-0.2338961809873581,-0.6590864062309265,-0.2517012357711792
2021-07-06 17:15:50.102077,0.7,[2],0.6972824931144714,0.23692025244235992,-0.2299514263868332,0.21911704540252686,[3],0.4541971683502197,0.06272037327289581,-0.15038692951202393,0.12566806375980377,[0],0.7026264667510986,0.5530733466148376,0.4620059132575989,0.45466384291648865,[1],0.7072805166244507,0.30496352910995483,0.1678849756717682,0.3836315870285034,[4],0.04308652877807617,-0.2297137826681137,-0.6590864062309265,-0.2517012357711792
2021-07-06 17:15:50.242507,0.7999999999999999,[2],0.6972824931144714,0.2005535215139389,-0.2299514263868332,0.21911704540252686,[3],0.4541971683502197,0.07224360853433609,-0.15038692951202393,0.12566806375980377,[0],0.7026264667510986,0.5690144896507263,0.4620059132575989,0.45466384291648865,[1],0.7072805166244507,0.32216876745224,0.1678849756717682,0.3836315870285034,[4],0.04308652877807617,-0.2229527086019516,-0.6590864062309265,-0.2517012357711792
2021-07-06 17:15:50.342945,0.8999999999999999,[2],0.6972824931144714,0.13225482404232025,-0.2299514263868332,0.21911704540252686,[3],0.4541971683502197,0.08617471158504486,-0.15038692951202393,0.12566806375980377,[0],0.7026264667510986,0.5580094456672668,0.4620059132575989,0.45466384291648865,[1],0.7072805166244507,0.3161446750164032,0.1678849756717682,0.3836315870285034,[4],0.04308652877807617,-0.2133413553237915,-0.6590864062309265,-0.2517012357711792
